FID,WD24CD,WD24NM,WD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1763,E05010365,Bocking Blackwater,,577103,223707,0.571869,51.8838,2364504.924,9277.668313,3192c0fe-2805-443a-80f2-48322850a6f6
1764,E05010366,Bocking North,,576392,226071,0.562758,51.90526,14554565.43,19695.4426,323e142e-e260-4492-8b2d-5ac8fc239a76
1765,E05010367,Bocking South,,575175,223767,0.543916,51.88494,2637466.584,8457.057595,11aada56-c240-470d-883c-f159a73f5465
1766,E05010368,Braintree Central & Beckers Green,,577346,222587,0.574822,51.87366,2230671.688,8011.498931,7b2ddcac-27cd-4483-bb4b-ece767b09027
1767,E05010369,Braintree South,,576359,222072,0.560237,51.86935,1258299.931,4412.803719,16f21af1-ccde-487a-b103-c45489928592
1768,E05010370,Braintree West,,575418,222258,0.546677,51.87131,1755726.339,7461.483665,58589067-81ef-49e0-98c3-8e269710b969
1769,E05010371,Bumpstead,,568009,241349,0.448495,52.04508,39133582.06,39007.80149,12953b57-dfcc-4294-b1a8-78cb18a4bf34
1770,E05010372,Coggeshall,,582473,224342,0.650141,51.88777,44933874.33,36285.96415,2848e42e-0d73-4652-8a14-8730f1643d34
1771,E05010374,Great Notley & Black Notley,,575343,220070,0.54448,51.85168,11542878.81,17327.74646,d04202ba-314c-4095-b8f8-0773a8e31281
1772,E05010378,Hedingham,,576538,234914,0.569417,51.98464,31476589.71,36203.48931,ab98cade-6863-4bd1-9e9e-29e34da9fbaf
1773,E05010379,Kelvedon & Feering,,585904,219779,0.697483,51.84566,23674371.14,32392.80381,2550675a-cb53-43e9-89e8-0f24b9242226
1774,E05010380,Rayne,,570973,224516,0.483295,51.89297,19787905.89,25311.4858,0813d70d-f9fb-44f7-a1bf-fa76ed1a81b6
1775,E05010382,Stour Valley North,,579625,242359,0.618224,52.05051,70553690.65,52702.39901,3fab643b-3aa0-4c46-8f68-c1d80c906e65
1776,E05010383,Stour Valley South,,584494,237096,0.686315,52.00165,58748946.04,48316.45484,c49e669a-61ad-4664-b27a-5930c65d244c
1777,E05010384,The Colnes,,585995,230327,0.704489,51.94036,36295470.01,38633.04348,bc7e1dd9-8ca8-4246-83bc-23df1478a58c
1778,E05010385,Three Fields,,570815,231664,0.484546,51.95723,80794171.06,57184.92236,245c616c-8e1a-419e-8604-f0a38303e17d
1779,E05010388,Witham South,,581905,213099,0.635989,51.78698,2890793.479,8584.211608,532fb568-31d7-4184-ad32-9dbea38c6838
1780,E05010389,Witham West,,580456,214707,0.61584,51.80189,4724607.859,11894.277,9099a5a5-4e65-4882-9e72-d347beeb18d5
1781,E05010390,Yeldham,,573938,236577,0.532438,52.00039,30173207.96,41457.06999,620e6eaa-9c87-4405-833e-8fc8fb344ca8
1782,E05010392,Beltinge,,619295,167858,1.149057,51.36742,2546271.129,8481.982036,19808893-efea-437d-9c0d-4f06b5789404
1783,E05010393,Blean Forest,,612772,160997,1.051397,51.3083,21191599.1,25564.92554,ed74a22f-72a0-49c8-acd4-ad5e70a7c81c
1784,E05010395,Chestfield,,613487,164988,1.06403,51.34386,10696820.13,16718.41115,5db7c245-234d-4f45-88b3-5073a8fe6237
1785,E05010396,Gorrell,,611161,164850,1.030599,51.34349,5731857.003,14634.33417,5715d423-24be-46c9-878e-a896752daa44
1786,E05010397,Greenhill,,615911,165442,1.099055,51.34703,6611768.425,13655.08512,1b1b8237-d2d4-4848-bd5b-3921e5e26813
